ticker,asset_name,asset_type,stock_price,transaction,transaction_date,asset_value_low,asset_value_high,last_name,first_name,owner,additional_details
AAPL,Apple Inc.,Stock,28.26,Sale (Partial),01/11/2017,15001,50000,Whitehouse,Sheldon,Self,--
MO,"Altria Group, Inc.",Stock,52.1,Sale (Full),01/30/2017,15001,50000,Whitehouse,Sheldon,Self,--
USB,U.S. Bancorp,Stock,44.98,Purchase,01/25/2017,1001,15000,Whitehouse,Sheldon,Self,--
BRK-B,Berkshire Hathaway Inc.,Stock,164.8,Purchase,01/30/2017,1001,15000,Whitehouse,Sheldon,Self,--
USB,USB-U.S. Bancorp,Stock,45.32,Purchase,01/30/2017,1001,15000,Capito,Shelley M,Spouse,--
QCOM,QUALCOMM Incorporated,Stock,56.13,Sale (Partial),01/18/2017,1001,15000,Reed,John F,Self,--
NXPI,NXP Semiconductors N.V.,Stock,94.49,Sale (Partial),01/18/2017,1001,15000,Reed,John F,Self,Sale was less than $1000.
QCOM,QUALCOMM Incorporated,Stock,56.13,Sale (Partial),01/18/2017,1001,15000,Reed,John F,Joint,Sale was less than $1000.
NXPI,NXP Semiconductors N.V.,Stock,94.49,Sale (Partial),01/18/2017,1001,15000,Reed,John F,Joint,Sale was less than $1000.
MRK,"Merck & Co., Inc.",Stock,49.94,Sale (Full),01/25/2017,50001,100000,Hoeven,John,Self,--
WTW,"Weight Watchers International, Inc.",Stock,126.17,Purchase,01/24/2017,50001,100000,Hoeven,John,Self,--
VFC,V.F. Corporation,Stock,42.93,Purchase,01/23/2017,50001,100000,Hoeven,John,Self,--
JNJ,Johnson & Johnson,Stock,99.4,Sale (Full),01/20/2017,100001,250000,Hoeven,John,Self,--
ABBV,AbbVie Inc.,Stock,47.88,Sale (Full),01/20/2017,100001,250000,Hoeven,John,Self,--
PFE,Pfizer Inc.,Stock,24.75,Sale (Full),01/20/2017,50001,100000,Hoeven,John,Self,--
BMY,Bristol-Myers Squibb Company,Stock,42.34,Sale (Full),01/20/2017,50001,100000,Hoeven,John,Self,--
AMGN,Amgen Inc.,Stock,136.06,Sale (Full),01/20/2017,50001,100000,Hoeven,John,Self,--
VZ,Verizon Communications Inc.,Stock,42.15,Purchase,01/20/2017,50001,100000,Hoeven,John,Self,--
PG,The Procter & Gamble Company,Stock,76.03,Purchase,01/20/2017,100001,250000,Hoeven,John,Self,--
PEP,"Pepsico, Inc.",Stock,90.34,Purchase,01/20/2017,100001,250000,Hoeven,John,Self,--
